timestamp,symbol,open,high,low,price,volume,latest_trading_day,previous_close,change,change_percent
2025-02-12T21:16:01.282774,MSFT,407.22,410.75,404.3673,409.04,16558018,2025-02-12,411.44,-2.4,-0.5833%
2025-02-12T21:16:02.134450,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T21:16:02.527895,NVDA,132.58,134.48,131.02,132.8,178902379,2025-02-11,133.57,-0.77,-0.5765%
2025-02-12T21:16:03.295343,IBM,252.72,256.4,252.02,255.87,3072551,2025-02-12,254.7,1.17,0.4594%
2025-02-12T21:16:03.726928,TSLA,329.76,346.4,329.12,336.51,103140561,2025-02-12,328.5,8.01,2.4384%
2025-02-12T21:16:03.980966,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T21:16:04.850798,META,715.62,727.1,712.85,725.38,11688380,2025-02-12,719.8,5.58,0.7752%
2025-02-12T21:16:05.175397,ORCL,174.18,174.45,170.71,172.2,7363719,2025-02-12,177.19,-4.99,-2.8162%
2025-02-12T21:16:06.413939,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T22:16:00.557961,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T22:16:01.652063,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T22:16:02.485601,GOOG,185.0,186.82,183.63,185.43,16830784,2025-02-12,187.07,-1.64,-0.8767%
2025-02-12T22:16:03.373745,NVDA,130.0,132.24,129.08,131.14,159302926,2025-02-12,132.8,-1.66,-1.2500%
2025-02-12T22:16:06.258525,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T22:16:06.396301,TSLA,345.8,349.37,325.1,328.5,118543400,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T22:16:06.530998,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T22:16:08.012084,META,715.62,727.1,712.85,725.38,11721318,2025-02-12,719.8,5.58,0.7752%
2025-02-12T22:16:08.268775,ORCL,174.18,174.45,170.71,172.2,7374514,2025-02-12,177.19,-4.99,-2.8162%
2025-02-12T22:16:08.420910,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T23:15:02.208094,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T23:15:05.185233,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T23:15:07.621365,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T23:15:07.935217,NVDA,130.0,132.24,129.08,131.14,159758835,2025-02-12,132.8,-1.66,-1.2500%
2025-02-12T23:15:09.230700,IBM,252.72,256.4,252.02,255.87,3074130,2025-02-12,254.7,1.17,0.4594%
2025-02-12T23:15:09.865983,TSLA,329.76,346.4,329.12,336.51,104527600,2025-02-12,328.5,8.01,2.4384%
2025-02-12T23:15:10.031516,AMZN,230.38,231.18,228.16,228.93,32213174,2025-02-12,232.76,-3.83,-1.6455%
